8.60E-04	308.67531
0.00159	315.27355
0.00238	320.6205
0.0032	324.94362
0.00405	328.43669
0.00493	331.26379
0.00582	333.56285
0.00673	335.4489
0.00765	337.01706
0.00859	338.34518
0.00953	339.49624
0.01047	340.5205
0.01141	341.45742
0.01236	342.33737
0.01331	343.18314
0.01427	344.01127
0.01522	344.83323
0.01617	345.65641
0.01712	346.48501
0.01806	347.32078
0.01901	348.16367
0.01996	349.01239
0.02092	349.86477
0.02187	350.71823
0.02282	351.56996
0.02376	352.41723
0.02471	353.25753
0.02566	354.08868
0.02661	354.90889
0.02757	355.71687
0.02852	356.51178
0.02947	357.29323
0.03042	358.0613
0.03137	358.81643
0.03233	359.55941
0.03328	360.29129
0.03424	361.01335
0.0352	361.72699
0.03615	362.4337
0.0371	363.13498
0.03806	363.83228
0.03901	364.52694
0.03997	365.22018
0.04093	365.91301
0.04188	366.60625
0.04284	367.30047
0.04379	367.99602
0.04474	368.69297
0.0457	369.39116
0.04666	370.09021
0.04762	370.78951
0.04857	371.48826
0.04952	372.18551
0.05048	372.88019
0.05143	373.57115
0.05239	374.25718
0.05335	374.93708
0.05431	375.60968
0.05526	376.2739
0.05622	376.92878
0.05717	377.57349
0.05813	378.2074
0.0591	378.83008
0.06005	379.44133
0.06101	380.04115
0.06197	380.62983
0.06293	381.20785
0.06389	381.77592
0.06484	382.33494
0.06581	382.886
0.06677	383.43027
0.06773	383.96904
0.06869	384.5036
0.06965	385.03522
0.07061	385.56507
0.07157	386.09416
0.07254	386.62327
0.0735	387.15288
0.07446	387.68315
0.07542	388.21379
0.07638	388.74412
0.07734	389.27296
0.07832	389.79869
0.07928	390.31923
0.08024	390.83211
0.0812	391.33457
0.08216	391.82368
0.08312	392.29652
0.08408	392.75044
0.08506	393.18335
0.08602	393.5941
0.08699	393.98296
0.08795	394.3522
0.08892	394.7067
0.08989	395.05478
0.09086	395.40911
0.09183	395.78774
0.09279	396.21531
0.09376	396.72446
0.09471	397.35734
